year,bird.id.prefix,bird.id,species,sex,coll.date,jul.date,days.since.oct,easting,northing,site,time,wing,head.bill,culmen.length,culmen.width,tarsus,keel,body.length,body.mass,molt,molt.score,liver,ab.fat,heart,age,protein,lipid
2017,17DX,16,NSHO,M,11/20/17,324,50,583282,4225046,Joice C,7:05,234,116.25,62.13,22.15,36.04,87.91,434,607,Yes,NA,25,9.1,6,I,41.8,47.3
2017,17DX,17,NSHO,F,11/30/17,334,60,582424,4224686,Joice D,6:30,230,106.82,62.01,20.19,36.89,82.46,397,607.1,Yes,NA,16.7,13.9,7.2,A,35.9,51.7
2017,17DX,18,MALL,M,11/27/17,331,57,583293,4224749,Joice C,8:03,275,116.39,52.97,22.63,46.79,113.28,529,1242.3,No,NA,29.6,11.8,19.1,A,47.4,38.2
2017,17DX,20,MALL,M,11/27/17,331,57,582829,4225319,Joice D,6:34,282,111.93,54.07,20.67,44.01,111.69,505,1249,No,NA,31.5,29.6,14.1,I,38.5,53.2
2017,17DX,21,MALL,F,11/27/17,331,57,583293,4224749,Joice C,8:00,NA,111.47,54.87,21.33,43.52,112.81,498,1248,Yes,NA,33,15.4,16.1,A,42.4,43.9
2017,17DX,22,MALL,M,11/20/17,324,50,583282,4225046,Joice C,6:40,282,111.35,54.67,22.52,44.42,112.94,505,1177.1,Yes,NA,33.3,10.1,12.9,I,41.1,42.8
2017,17DX,23,AGWT,M,11/20/17,324,50,583282,4225046,Joice C,7:05,187,81.71,34.71,14.17,30.16,68.23,308,347,Yes,NA,7.1,7.6,4,A,38.5,50.5
2017,17DX,24,NOPI,M,11/27/17,331,57,583293,4224749,Joice C,8:00,261,109.32,50.56,17.41,44.2,105.55,504,1066.8,Yes,NA,32.6,39.1,12.1,I,35.6,57.2
2017,17DX,25,NOPI,M,11/30/17,334,60,583332.4,4224869.2,Joice C,7:13,276,107.08,48.78,19.68,43.76,103,522,945.6,Yes,NA,47.6,7.9,11.4,A,49.9,33.5
2017,17DX,26,AGWT,F,11/30/17,334,60,582424,4224686,Joice D,8:00,169,76.7,36.65,13.81,28.19,64.99,297,310.1,Yes,NA,8.5,2.6,NA,I,42.3,44.1
2017,17DX,27,AMWI,M,11/30/17,334,60,582424,4224686,Joice D,9:00,273,89.28,39.79,17.62,37.85,97.22,420,790.4,Yes,NA,18.4,20.9,8.9,A,35.9,51
2017,17DX,28,NSHO,M,11/30/17,334,60,582424,4224686,Joice D,9:10,240,119.4,66.65,21.44,39.21,92.65,425,701.2,Yes,NA,19.2,19.3,8.1,I,36.3,54.4
2017,17DX,29,NSHO,F,11/30/17,334,60,582424,4224686,Joice D,6:57,239,109.01,58.79,19.45,36.44,82.13,401,527.6,Yes,NA,17.3,7,5.6,I,43.9,43.2
2017,17DX,30,AMWI,M,11/20/17,324,50,583282,4225046,Joice C,7:05,273,87.04,35.35,16.67,37.16,96.29,399,771.2,Yes,NA,24.2,21.6,11.2,A,41.05,46.9
2017,17DX,31,MALL,M,11/20/17,324,50,583282,4225046,Joice C,6:35,290,114.87,54.15,22.73,46.74,109.92,519,1188.4,Yes,NA,30.8,23.3,21.6,A,41,45.7
2017,17DX,32,NOPI,F,11/30/17,334,60,582424,4224686,Joice D,9:35,250,95.7,42.32,18.29,40.9,89.15,440,782.5,Yes,NA,43.6,9.1,10.1,I,45.5,40
2017,17DX,33,NSHO,M,11/30/17,334,60,582424,4224686,Joice D,7:40,232,116.33,63.98,20.96,NA,89.69,423,546.4,Yes,NA,21.6,3.7,6.9,I,48.4,35.9
2017,17DX,34,NOPI,F,11/30/17,334,60,582424,4224686,Joice D,8:30,262,100.62,48.95,17.59,42.39,91.3,450,812.5,Yes,NA,24,13.5,12,A,39.9,45.1
2017,17DX,35,AMWI,M,11/27/17,331,57,582829,4225319,Joice D,7:35,262,87.7,35.91,16.05,38.15,93.81,399,807.2,Yes,NA,15.2,31.5,7.9,A,30,61.6
2017,17DX,36,NOPI,M,11/30/17,334,60,582424,4224686,Joice D,8:40,274,111.3,49.49,18.39,42.51,106.7,519,960.1,Yes,NA,27.3,12.5,13.8,A,41.9,47.4
2017,17DX,37,MALL,M,11/27/17,331,57,583293,4224749,Joice C,8:00,281,119.45,60.47,22.86,43.77,113.82,504,1269.3,Yes,NA,44.8,21.6,15.5,I,42.3,48.2
